iter	Passed	Remaining
0	1	163
1	3	161
2	4	153
3	5	142
4	7	141
5	8	138
6	10	137
7	11	136
8	13	135
9	14	132
10	16	130
11	17	127
12	18	126
13	20	124
14	21	122
15	22	120
16	24	119
17	25	118
18	27	117
19	28	115
20	30	114
21	31	112
22	33	111
23	34	110
24	36	109
25	38	108
26	39	106
27	40	105
28	42	103
29	43	101
30	45	100
31	46	98
32	47	97
33	49	95
34	50	93
35	51	92
36	53	90
37	54	89
38	55	87
39	57	86
40	58	84
41	59	81
42	60	80
43	62	78
44	63	77
45	64	76
46	66	74
47	67	73
48	68	71
49	70	70
50	71	68
51	73	67
52	74	65
53	75	64
54	76	62
55	77	61
56	79	59
57	80	58
58	81	56
59	83	55
60	84	54
61	86	52
62	87	51
63	88	50
64	90	48
65	92	47
66	93	46
67	94	44
68	96	43
69	98	42
70	99	40
71	100	39
72	102	37
73	103	36
74	104	34
75	106	33
76	107	32
77	109	30
78	111	29
79	112	28
80	113	26
81	115	25
82	117	23
83	118	22
84	120	21
85	121	19
86	122	18
87	124	16
88	125	15
89	127	14
90	128	12
91	129	11
92	131	9
93	133	8
94	134	7
95	135	5
96	137	4
97	138	2
98	140	1
99	141	0
