iter	Passed	Remaining
0	151	151104
1	153	76409
2	154	51422
3	156	38910
4	158	31451
5	159	26450
6	161	22869
7	162	20176
8	164	18098
9	165	16410
10	167	15042
11	168	13897
12	170	12918
13	171	12089
14	173	11365
15	174	10731
16	175	10174
17	177	9677
18	178	9236
19	180	8842
20	181	8483
21	183	8151
22	184	7856
23	186	7579
24	187	7322
25	189	7086
26	190	6869
27	192	6669
28	193	6478
29	194	6303
30	196	6141
31	197	5988
32	199	5843
33	200	5702
34	202	5580
35	204	5463
36	205	5351
37	207	5247
38	209	5150
39	210	5055
40	212	4972
41	214	4883
42	215	4798
43	217	4718
44	218	4637
45	219	4561
46	221	4488
47	223	4436
48	225	4369
49	226	4303
50	228	4242
51	229	4183
52	230	4126
53	232	4067
54	233	4014
55	235	3965
56	236	3913
57	237	3863
58	239	3819
59	241	3778
60	242	3734
61	244	3692
62	245	3656
63	247	3613
64	248	3571
65	249	3532
66	251	3499
67	252	3461
68	253	3425
69	255	3393
70	256	3360
71	258	3326
72	259	3297
73	261	3270
74	262	3241
75	264	3212
76	265	3181
77	267	3156
78	268	3127
79	269	3100
80	270	3072
81	272	3048
82	272	3015
83	274	2989
84	275	2964
85	276	2941
86	278	2919
87	279	2895
88	280	2872
89	281	2851
90	283	2832
91	284	2810
92	285	2789
93	287	2767
94	288	2749
95	289	2730
96	291	2710
97	292	2691
98	294	2678
99	295	2660
100	296	2642
101	298	2625
102	299	2610
103	300	2593
104	302	2576
105	303	2559
106	304	2544
107	306	2528
108	307	2512
109	308	2497
110	310	2483
111	311	2469
112	312	2454
113	313	2438
114	315	2425
115	316	2413
116	317	2397
117	318	2383
118	320	2371
119	321	2359
120	323	2347
121	324	2333
122	325	2322
123	327	2312
124	328	2299
125	329	2287
126	330	2274
127	332	2264
128	333	2252
129	334	2240
130	335	2228
131	337	2217
132	338	2207
133	340	2197
134	341	2186
135	342	2175
136	343	2165
137	345	2156
138	346	2146
139	348	2138
140	349	2129
141	350	2117
142	351	2109
143	353	2101
144	354	2092
145	356	2083
146	357	2074
147	359	2067
148	360	2060
149	362	2053
150	364	2047
151	365	2040
152	367	2032
153	368	2024
154	369	2017
155	371	2009
156	373	2002
157	374	1996
158	376	1990
159	378	1984
160	379	1975
161	380	1968
162	382	1961
163	383	1955
164	384	1947
165	386	1942
166	388	1935
167	389	1930
168	391	1924
169	392	1918
170	394	1911
171	395	1904
172	397	1899
173	398	1892
174	399	1885
175	401	1878
176	402	1872
177	404	1866
178	405	1860
179	406	1854
180	408	1849
181	410	1844
182	411	1838
183	413	1832
184	414	1826
185	415	1820
186	417	1813
187	418	1807
188	419	1802
189	421	1795
190	422	1789
191	423	1782
192	425	1777
193	426	1771
194	427	1764
195	428	1759
196	430	1753
197	431	1747
198	432	1742
199	434	1736
200	435	1732
201	437	1726
202	438	1720
203	439	1714
204	440	1710
205	442	1704
206	443	1698
207	444	1692
208	446	1688
209	447	1682
210	448	1677
211	449	1672
212	451	1668
213	452	1663
214	453	1657
215	455	1651
216	456	1646
217	457	1642
218	459	1637
219	460	1632
220	461	1627
221	463	1623
222	464	1618
223	465	1613
224	467	1608
225	468	1604
226	469	1599
227	471	1595
228	472	1590
229	473	1586
230	475	1581
231	476	1576
232	477	1572
233	479	1568
234	480	1563
235	481	1558
236	482	1553
237	483	1549
238	485	1544
239	486	1540
240	487	1535
241	488	1531
242	490	1527
243	491	1522
244	492	1518
245	493	1513
246	495	1511
247	496	1506
248	498	1502
249	499	1497
250	501	1495
251	502	1492
252	504	1488
253	505	1484
254	507	1482
255	508	1477
256	509	1473
257	511	1471
258	512	1467
259	514	1463
260	515	1459
261	517	1456
262	518	1452
263	519	1448
264	520	1444
265	522	1441
266	523	1437
267	524	1433
268	526	1429
269	527	1426
270	528	1422
271	530	1419
272	531	1415
273	533	1412
274	534	1409
275	535	1405
276	537	1401
277	538	1399
278	539	1395
279	541	1391
280	542	1387
281	543	1384
282	545	1381
283	546	1377
284	547	1374
285	549	1370
286	550	1367
287	551	1364
288	553	1360
289	554	1357
290	555	1354
291	557	1350
292	558	1347
293	559	1344
294	561	1342
295	563	1339
296	564	1335
297	565	1333
298	567	1329
299	568	1326
300	569	1322
301	571	1320
302	572	1317
